% de España en EXTREMO con los cortes del cubo: mediana diaria por mes
 anio  condicion  mes  dias  mediana_servicio  mediana_cubo  p90_cubo  veces
 2025        ifs    5     1             1.814         0.273     0.636  6.641
 2025        ifs    6    30             0.366         0.096     0.352  3.794
 2025        ifs    7    31             1.017         0.200     0.654  5.073
 2025        ifs    8    31             5.018         0.574     0.987  8.742
 2025        ifs    9    30             2.055         0.297     0.862  6.928
 2025        ifs   10    31             2.649         0.311     1.016  8.531
 2025        ifs   11     1             0.241         0.186     0.428  1.296
 2025 reanalisis    5     7             1.259         0.273     0.636  4.609
 2025 reanalisis    6    30             0.181         0.096     0.352  1.882
 2025 reanalisis    7    31             0.643         0.200     0.654  3.207
 2025 reanalisis    8    31             4.644         0.574     0.987  8.091
 2025 reanalisis    9    30             2.402         0.297     0.862  8.101
 2025 reanalisis   10    31             3.060         0.311     1.016  9.855
 2026        ifs    5     1             2.247         0.273     0.636  8.225
 2026        ifs    6    30             0.646         0.096     0.352  6.703
 2026        ifs    7    31             1.336         0.200     0.654  6.669
 2026        ifs    8    31             2.456         0.574     0.987  4.279
 2026        ifs    9     2             0.453         0.297     0.862  1.527
 2026 reanalisis    5     7             1.375         0.273     0.636  5.034
 2026 reanalisis    6    30             0.501         0.096     0.352  5.194
 2026 reanalisis    7    31             1.123         0.200     0.654  5.602
 2026 reanalisis    8    27             2.494         0.574     0.987  4.346

Máximo del cubo en 2015-2024: 1.69 %
