fuente,parte,variante,regimen,dias,pct_dias_sin_extremo,dias_grandes,pct_grandes_perdidos,pct_celdas_en_dias_apagados,pct_ha_en_dias_apagados
cubo,calibración 2015-2021,SIN,invierno-primavera,1059,0.0,172,0.0,0.0,
cubo,calibración 2015-2021,SIN,transicion,644,0.0,55,0.0,0.0,
cubo,calibración 2015-2021,SIN,verano,854,0.0,252,0.0,0.0,
cubo,calibración 2015-2021,SIN,TOTAL,2557,0.0,479,0.0,0.0,
cubo,calibración 2015-2021,V0,invierno-primavera,1059,45.70349386213409,172,6.395348837209302,4.1723979825768,
cubo,calibración 2015-2021,V0,transicion,644,62.732919254658384,55,10.909090909090908,7.4113287453679195,
cubo,calibración 2015-2021,V0,verano,854,53.62997658079626,252,30.158730158730158,25.936179513332362,
cubo,calibración 2015-2021,V0,TOTAL,2557,52.63981228001564,479,19.41544885177453,16.028671648619795,
cubo,calibración 2015-2021,V1,invierno-primavera,1059,45.70349386213409,172,6.395348837209302,4.1723979825768,
cubo,calibración 2015-2021,V1,transicion,644,62.732919254658384,55,10.909090909090908,7.4113287453679195,
cubo,calibración 2015-2021,V1,verano,854,0.0,252,0.0,0.0,
cubo,calibración 2015-2021,V1,TOTAL,2557,34.728197105983575,479,3.549060542797495,2.455391184993137,
cubo,calibración 2015-2021,V2,invierno-primavera,1059,45.70349386213409,172,6.395348837209302,4.1723979825768,
cubo,calibración 2015-2021,V2,transicion,644,0.0,55,0.0,0.0,
cubo,calibración 2015-2021,V2,verano,854,0.0,252,0.0,0.0,
cubo,calibración 2015-2021,V2,TOTAL,2557,18.92843175596402,479,2.2964509394572024,1.3878298002135123,
cubo,calibración 2015-2021,V3,invierno-primavera,1059,63.73937677053825,172,17.441860465116278,15.566254011921137,
cubo,calibración 2015-2021,V3,transicion,644,62.732919254658384,55,10.909090909090908,7.4113287453679195,
cubo,calibración 2015-2021,V3,verano,854,53.62997658079626,252,30.158730158730158,25.936179513332362,
cubo,calibración 2015-2021,V3,TOTAL,2557,60.109503324208056,479,23.38204592901879,19.818514564587463,
cubo,fuera de calibración 2022-2024,SIN,invierno-primavera,454,0.0,164,0.0,0.0,
cubo,fuera de calibración 2022-2024,SIN,transicion,276,0.0,46,0.0,0.0,
cubo,fuera de calibración 2022-2024,SIN,verano,366,0.0,133,0.0,0.0,
cubo,fuera de calibración 2022-2024,SIN,TOTAL,1096,0.0,343,0.0,0.0,
cubo,fuera de calibración 2022-2024,V0,invierno-primavera,454,39.86784140969163,164,6.097560975609756,2.7768195929630908,
cubo,fuera de calibración 2022-2024,V0,transicion,276,70.65217391304348,46,34.78260869565217,27.984344422700588,
cubo,fuera de calibración 2022-2024,V0,verano,366,59.83606557377049,133,34.58646616541353,23.447953944297495,
cubo,fuera de calibración 2022-2024,V0,TOTAL,1096,54.28832116788321,343,20.99125364431487,14.750509549331925,
cubo,fuera de calibración 2022-2024,V1,invierno-primavera,454,39.86784140969163,164,6.097560975609756,2.7768195929630908,
cubo,fuera de calibración 2022-2024,V1,transicion,276,70.65217391304348,46,34.78260869565217,27.984344422700588,
cubo,fuera de calibración 2022-2024,V1,verano,366,0.0,133,0.0,0.0,
cubo,fuera de calibración 2022-2024,V1,TOTAL,1096,34.306569343065696,343,7.580174927113703,3.3743489091869856,
cubo,fuera de calibración 2022-2024,V2,invierno-primavera,454,39.86784140969163,164,6.097560975609756,2.7768195929630908,
cubo,fuera de calibración 2022-2024,V2,transicion,276,0.0,46,0.0,0.0,
cubo,fuera de calibración 2022-2024,V2,verano,366,0.0,133,0.0,0.0,
cubo,fuera de calibración 2022-2024,V2,TOTAL,1096,16.514598540145986,343,2.9154518950437316,1.2153695176266324,
cubo,fuera de calibración 2022-2024,V3,invierno-primavera,454,58.370044052863435,164,15.853658536585366,11.038289065194895,
cubo,fuera de calibración 2022-2024,V3,transicion,276,70.65217391304348,46,34.78260869565217,27.984344422700588,
cubo,fuera de calibración 2022-2024,V3,verano,366,59.83606557377049,133,34.58646616541353,23.447953944297495,
cubo,fuera de calibración 2022-2024,V3,TOTAL,1096,61.95255474452554,343,25.65597667638484,18.366422586245942,
cubo,todo 2015-2024,SIN,invierno-primavera,1513,0.0,336,0.0,0.0,
cubo,todo 2015-2024,SIN,transicion,920,0.0,101,0.0,0.0,
cubo,todo 2015-2024,SIN,verano,1220,0.0,385,0.0,0.0,
cubo,todo 2015-2024,SIN,TOTAL,3653,0.0,822,0.0,0.0,
cubo,todo 2015-2024,V0,invierno-primavera,1513,43.95241242564442,336,6.25,3.375984251968504,
cubo,todo 2015-2024,V0,transicion,920,65.1086956521739,101,21.782178217821784,14.634146341463415,
cubo,todo 2015-2024,V0,verano,1220,55.49180327868852,385,31.68831168831169,24.73288186606471,
cubo,todo 2015-2024,V0,TOTAL,3653,53.13441007391185,822,20.072992700729927,15.38636622282918,
cubo,todo 2015-2024,V1,invierno-primavera,1513,43.95241242564442,336,6.25,3.375984251968504,
cubo,todo 2015-2024,V1,transicion,920,65.1086956521739,101,21.782178217821784,14.634146341463415,
cubo,todo 2015-2024,V1,verano,1220,0.0,385,0.0,0.0,
cubo,todo 2015-2024,V1,TOTAL,3653,34.601697235149196,822,5.231143552311435,2.917188270551193,
cubo,todo 2015-2024,V2,invierno-primavera,1513,43.95241242564442,336,6.25,3.375984251968504,
cubo,todo 2015-2024,V2,transicion,920,0.0,101,0.0,0.0,
cubo,todo 2015-2024,V2,verano,1220,0.0,385,0.0,0.0,
cubo,todo 2015-2024,V2,TOTAL,3653,18.20421571311251,822,2.5547445255474455,1.3011645992185426,
cubo,todo 2015-2024,V3,invierno-primavera,1513,62.128222075347,336,16.666666666666668,12.98228346456693,
cubo,todo 2015-2024,V3,transicion,920,65.1086956521739,101,21.782178217821784,14.634146341463415,
cubo,todo 2015-2024,V3,verano,1220,55.49180327868852,385,31.68831168831169,24.73288186606471,
cubo,todo 2015-2024,V3,TOTAL,3653,60.66246920339447,822,24.330900243309003,19.088805432267364,
replay 2025,IFS,SIN,transicion,33,0.0,15,0.0,0.0,0.0
replay 2025,IFS,SIN,verano,122,0.0,89,0.0,0.0,0.0
replay 2025,IFS,SIN,TOTAL,155,0.0,104,0.0,0.0,0.0
replay 2025,IFS,V0,transicion,33,33.33333333333333,15,20.0,17.22222222222222,19.383697813121273
replay 2025,IFS,V0,verano,122,53.278688524590166,89,46.06741573033708,14.83843537414966,8.574665512949437
replay 2025,IFS,V0,TOTAL,155,49.03225806451613,104,42.30769230769231,14.897733554449973,8.630882371948147
replay 2025,IFS,V1,transicion,33,33.33333333333333,15,20.0,17.22222222222222,19.383697813121273
replay 2025,IFS,V1,verano,122,0.0,89,0.0,0.0,0.0
replay 2025,IFS,V1,TOTAL,155,7.096774193548387,104,2.8846153846153846,0.42841348811498065,0.10081296609840897
replay 2025,IFS,V2,transicion,33,0.0,15,0.0,0.0,0.0
replay 2025,IFS,V2,verano,122,0.0,89,0.0,0.0,0.0
replay 2025,IFS,V2,TOTAL,155,0.0,104,0.0,0.0,0.0
replay 2025,IFS,V3,transicion,33,33.33333333333333,15,20.0,17.22222222222222,19.383697813121273
replay 2025,IFS,V3,verano,122,53.278688524590166,89,46.06741573033708,14.83843537414966,8.574665512949437
replay 2025,IFS,V3,TOTAL,155,49.03225806451613,104,42.30769230769231,14.897733554449973,8.630882371948147
replay 2026,IFS,SIN,transicion,1,0.0,1,0.0,0.0,0.0
replay 2026,IFS,SIN,verano,94,0.0,78,0.0,0.0,0.0
replay 2026,IFS,SIN,TOTAL,95,0.0,79,0.0,0.0,0.0
replay 2026,IFS,V0,transicion,1,0.0,1,0.0,0.0,0.0
replay 2026,IFS,V0,verano,94,58.51063829787234,78,55.12820512820513,57.39562624254473,60.517383966560516
replay 2026,IFS,V0,TOTAL,95,57.89473684210527,79,54.43037974683544,57.22497522299306,60.44116218054611
replay 2026,IFS,V1,transicion,1,0.0,1,0.0,0.0,0.0
replay 2026,IFS,V1,verano,94,0.0,78,0.0,0.0,0.0
replay 2026,IFS,V1,TOTAL,95,0.0,79,0.0,0.0,0.0
replay 2026,IFS,V2,transicion,1,0.0,1,0.0,0.0,0.0
replay 2026,IFS,V2,verano,94,0.0,78,0.0,0.0,0.0
