fecha,pct_extremo,posicion,celdas_effis_D,celdas_effis_D1,n_miteco,abs_D_extremo,abs_D_alto_o_mas,abs_miteco_extremo_10km,abs_miteco_alto_o_mas_10km,pct_D_extremo,pct_D_alto_o_mas,pct_miteco_extremo_10km,pct_miteco_alto_o_mas_10km,abs_D1_extremo,abs_D1_alto_o_mas,pct_D1_extremo,pct_D1_alto_o_mas
2026-09-09,0.18,3.0,10,0,1,0.0,10.0,0.0,100.0,0.0,20.0,100.0,100.0,,,,
2026-09-10,0.27,8.0,0,1,2,,,50.0,50.0,,,50.0,100.0,0.0,0.0,0.0,0.0
2026-09-11,0.46,19.0,1,2,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,100.0
2026-09-13,0.41,15.0,14,16,1,0.0,57.1,0.0,100.0,0.0,85.7,100.0,100.0,56.2,75.0,56.2,75.0
2026-09-14,1.0,39.0,16,58,1,56.2,75.0,100.0,100.0,56.2,75.0,100.0,100.0,12.1,25.9,17.2,32.8
2026-09-15,1.36,48.0,58,16,6,6.9,27.6,33.3,66.7,13.8,36.2,50.0,83.3,0.0,0.0,0.0,12.5
2026-09-16,1.73,54.0,16,7,0,0.0,31.2,,,0.0,37.5,,,0.0,28.6,0.0,42.9
2026-09-17,2.99,76.0,7,5,2,28.6,71.4,50.0,50.0,28.6,71.4,0.0,50.0,20.0,40.0,0.0,40.0
2026-09-18,2.89,75.0,5,19,0,40.0,40.0,,,0.0,40.0,,,21.1,21.1,0.0,21.1
2026-09-19,3.26,78.0,19,0,3,21.1,26.3,33.3,100.0,0.0,31.6,33.3,100.0,,,,
2026-09-20,3.61,80.0,0,0,3,,,66.7,66.7,,,66.7,66.7,,,,
2026-09-21,2.67,72.0,0,0,6,,,66.7,100.0,,,66.7,100.0,,,,
2026-09-22,4.14,86.0,0,0,3,,,100.0,100.0,,,100.0,100.0,,,,
2026-09-23,4.45,89.0,0,0,0,,,,,,,,,,,,
